目录ID,信息资源名称,目标表,数据库IP,对应处室,分类,需求依据,说明
1,一户一档农户补贴信息,O_HN065_SJSN_TBL_CMS_SUBSIDY_DAT,172.25.111.6,农村合作经济指导处,一期必采,命中需求域:一户一档/农户/补贴,与现有需求模块直接对应，纳入首批采集范围
2,海南省农产品滞销信息,O_HN065_SJSN_TBL_PLATFORM_FARM_PRODUCTS_DAT,172.25.111.6,市场与信息化处,一期必采,命中需求域:农产品/滞销,与现有需求模块直接对应，纳入首批采集范围
3,一户一档家庭成员信息,O_HN065_SJSN_TBL_CMS_FAMILY_MEMBER_DAT,172.25.111.6,农村合作经济指导处,一期必采,命中需求域:一户一档/家庭成员/成员,与现有需求模块直接对应，纳入首批采集范围
4,乡村治理三会一课信息,O_HN065_SJSN_TBL_RURALGOVERNANCE_PARTY_MEETING_MANAGE_DAT,172.25.111.6,农村合作经济指导处,一期必采,命中需求域:三会一课,与现有需求模块直接对应，纳入首批采集范围
10,一户一档农户档案信息,O_HN065_SJSN_TBL_CMS_USER_ARCHIVES_MANAGE_DAT,172.25.111.6,农村合作经济指导处,一期必采,命中需求域:一户一档/农户/档案,与现有需求模块直接对应，纳入首批采集范围
11,海南省农村三资科目余额信息,O_HN065_SJSN_SZ_KMYEB,172.25.111.6,农村合作经济指导处,一期必采,命中需求域:三资/科目/余额,与现有需求模块直接对应，纳入首批采集范围
20,一村一档农户档案信息,O_HN065_SJSN_TBL_VILLAGEFILE_SOCIAL_GUARANTEE_DAT,172.25.111.6,海南省现代农业检验检测预警防控中心,一期必采,命中需求域:农户/档案,与现有需求模块直接对应，纳入首批采集范围
26,海南省农村三资集体经济组织信息,SYS_JJZZ,172.25.111.6,,一期必采,命中需求域:三资,与现有需求模块直接对应，纳入首批采集范围
29,一户一档农户资产状况分布信息,O_HN065_SJSN_TBL_CMS_ASSETS_DAT,172.25.111.6,,一期必采,命中需求域:资产/一户一档/农户,与现有需求模块直接对应，纳入首批采集范围
34,一户一档乡村人员组织管理信息,O_HN065_SJSN_TBL_CMS_VILLAGE_PERSONNEL_DAT,172.25.111.6,,一期必采,命中需求域:一户一档,与现有需求模块直接对应，纳入首批采集范围
35,海南省农村三资合同资产信息,O_HN065_SJSN_SZ_ASSETS_CONTRACT,172.25.111.6,,一期必采,命中需求域:三资/合同/资产,与现有需求模块直接对应，纳入首批采集范围
36,海南省农村三资出纳信息,O_HN065_SJSN_SZ_CASHIER_ACCOUNT,172.25.111.6,,一期必采,命中需求域:三资,与现有需求模块直接对应，纳入首批采集范围
39,海南省农产品需求信息,O_HN065_SJSN_TBL_PLATFORM_PUBLISH_INFO,172.25.111.6,,一期必采,命中需求域:农产品,与现有需求模块直接对应，纳入首批采集范围
40,乡村治理党员管理信息,TBL_RURALGOVERNANCE_PARTY_MEMBER_DAT,172.25.111.6,,一期必采,命中需求域:党员,与现有需求模块直接对应，纳入首批采集范围
44,海南省农村三资资产资源信息,O_HN065_SJSN_SZ_ASSETS,172.25.111.6,,一期必采,命中需求域:三资/资产,与现有需求模块直接对应，纳入首批采集范围
46,乡村治理通知公告信息,O_HN065_SJSN_TBL_RURALGOVERNANCE_PARTY_NOTICE_DAT,172.25.111.6,,一期必采,命中需求域:通知公告,与现有需求模块直接对应，纳入首批采集范围
47,一户一档自然人信用信息,O_HN065_SJSN_TBL_CMS_CREDIT_DAT,172.25.111.6,,一期必采,命中需求域:一户一档,与现有需求模块直接对应，纳入首批采集范围
55,乡村治理党组织机构信息,O_HN065_SJSN_TBL_RURALGOVERNANCE_PARTY_ORGANIZATION_DAT,172.25.111.6,,一期必采,命中需求域:党组织,与现有需求模块直接对应，纳入首批采集范围
56,一村一档乡村档案信息,O_HN065_SJSN_TBL_VILLAGEFILE_RECORD_DAT,172.25.111.6,,一期必采,命中需求域:档案,与现有需求模块直接对应，纳入首批采集范围
60,海南省生猪价格(出栏价）信息,O_HN065_SJSN_AGRO_PLAN_PIGPRICE_R,172.25.111.6,,一期必采,命中需求域:价格,与现有需求模块直接对应，纳入首批采集范围
73,海南省农产品企业主体信息,O_HN065_SJSN_T_MARA_ENTERPRISE,172.25.111.6,,一期必采,命中需求域:主体/农产品,与现有需求模块直接对应，纳入首批采集范围
77,数字三农信贷产品信息,O_HN065_SJSN_TBL_CONSOLE_CREDIT,172.25.111.6,,一期必采,命中需求域:信贷,与现有需求模块直接对应，纳入首批采集范围
80,海南省畜产品及饲价格信息,O_HN065_SJSN_AGRO_PROD_FEED_PROVINCE,172.21.128.23,,一期必采,命中需求域:价格,与现有需求模块直接对应，纳入首批采集范围
83,海南省农产品企业主体扩展信息,O_HN065_SJSN_T_MARA_ENTERPRISE_EXTEND,172.25.111.6,,一期必采,命中需求域:主体/农产品,与现有需求模块直接对应，纳入首批采集范围
87,海南省资产负载汇总信息,O_HN065_SJSN_TB_ASSET_LIABILITY,172.25.111.6,,一期必采,命中需求域:资产,与现有需求模块直接对应，纳入首批采集范围
89,海南省农产品农村合作社信息,O_HN065_SJSN_MP_RURAL_COOPERATE,172.25.111.6,,一期必采,命中需求域:农产品,与现有需求模块直接对应，纳入首批采集范围
91,主体立信记录信息,O_HN065_SJSN_T_MARA_CREDIT_RECORD,172.25.111.6,,一期必采,命中需求域:主体,与现有需求模块直接对应，纳入首批采集范围
95,数字三农有机农产品认证信息,O_HN065_SJSN_TBL_PLATFORM_ORGANICFOOD_DAT,172.25.111.6,,一期必采,命中需求域:农产品,与现有需求模块直接对应，纳入首批采集范围
114,主体变码记录信息,O_HN065_SJSN_T_MARA_CODE_RECORD,172.25.111.6,,一期必采,命中需求域:主体,与现有需求模块直接对应，纳入首批采集范围
128,农产品品牌信息,O_HN065_SJSN_T_FARM_BRAND,172.25.111.6,,一期必采,命中需求域:农产品,与现有需求模块直接对应，纳入首批采集范围
129,农户档案管理详情表信息,TBL_CMS_USER_ARCHIVES_MANAGE_DAT,172.21.128.23,,一期必采,命中需求域:农户/档案,与现有需求模块直接对应，纳入首批采集范围
132,领导视窗_两品一标（农产品认证）信息,MP_ORGANIC_PRODUCT,172.21.199.156,,一期必采,命中需求域:农产品,与现有需求模块直接对应，纳入首批采集范围
140,领导视窗_资产情况（地图）信息,TB_ASSET_LIABILITY,172.21.199.156,,一期必采,命中需求域:资产,与现有需求模块直接对应，纳入首批采集范围
172,领导视窗_农民收入信息,TB_BIG_PEASANT,10.111.162.138,,一期必采,命中需求域:收入,与现有需求模块直接对应，纳入首批采集范围
174,领导视窗_农民收入（地图）信息,TB_BIG_INCOME,10.111.162.138,,一期必采,命中需求域:收入,与现有需求模块直接对应，纳入首批采集范围
6,一村一档文体设施信息,O_HN065_SJSN_TBL_VILLAGEFILE_SPORTS_FACILITY_DAT,172.25.111.6,农村合作经济指导处,二期预留,弱关联域:一村一档/文体设施,与需求存在外围关联，但当前页面和流程消费证据不足，先预留
14,乡村治理阳光村务管理信息,O_HN065_SJSN_TBL_RURALGOVERNANCE_VILLAGE_MANAGE_DAT,172.25.111.6,海南省现代农业检验检测预警防控中心,二期预留,弱关联域:乡村治理/村务/阳光村务,与需求存在外围关联，但当前页面和流程消费证据不足，先预留
19,一村一档教育设施信息,O_HN065_SJSN_TBL_VILLAGEFILE_EDUCATION_FACILITY_DAT,172.25.111.6,海南省现代农业检验检测预警防控中心,二期预留,弱关联域:一村一档/教育设施,与需求存在外围关联，但当前页面和流程消费证据不足，先预留
22,乡村治理发起项目明细信息,O_HN065_SJSN_TBL_FLOW_DETAIL,172.25.111.6,,二期预留,弱关联域:项目/乡村治理,与需求存在外围关联，但当前页面和流程消费证据不足，先预留
24,乡村治理创先争优信息,O_HN065_SJSN_TBL_RURALGOVERNANCE_PARTY_HONOR_DAT,172.25.111.6,,二期预留,弱关联域:乡村治理/创先争优,与需求存在外围关联，但当前页面和流程消费证据不足，先预留
25,乡村治理人口流动性登记信息,O_HN065_SJSN_TBL_RURALGOVERNANCE_VILLAGE_POPULATION_SHIFT_DAT,172.25.111.6,,二期预留,弱关联域:乡村治理/人口流动,与需求存在外围关联，但当前页面和流程消费证据不足，先预留
27,一村一档种植作物信息,O_HN065_SJSN_TBL_VILLAGEFILE_PLANT_CROP_DAT,172.25.111.6,,二期预留,弱关联域:一村一档,与需求存在外围关联，但当前页面和流程消费证据不足，先预留
32,一村一档乡村企业信息,O_HN065_SJSN_TBL_VILLAGEFILE_ENTERPRISE_DAT,172.25.111.6,,二期预留,弱关联域:一村一档,与需求存在外围关联，但当前页面和流程消费证据不足，先预留
37,保存基地信息,O_HN065_SJSN_T_FARM_BASE,172.25.111.6,,二期预留,弱关联域:基地,与需求存在外围关联，但当前页面和流程消费证据不足，先预留
38,新型技术推广信息,AGRO_FERTILIZER_TECH,172.21.128.23,,二期预留,弱关联域:新型技术推广,与需求存在外围关联，但当前页面和流程消费证据不足，先预留
43,一村一档卫生设施信息,O_HN065_SJSN_TBL_VILLAGEFILE_HEALTH_FACILITY_DAT,172.25.111.6,,二期预留,弱关联域:一村一档,与需求存在外围关联，但当前页面和流程消费证据不足，先预留
48,海南省农作物种质资源库信息,TBL_SEED_CROP_VARIETY_RESOURCES_INFO,172.25.111.6,,二期预留,弱关联域:资源,与需求存在外围关联，但当前页面和流程消费证据不足，先预留
51,一村一档特色产业信息,O_HN065_SJSN_TBL_VILLAGEFILE_FEATURE_INDUSTRY_DAT,172.25.111.6,,二期预留,弱关联域:一村一档,与需求存在外围关联，但当前页面和流程消费证据不足，先预留
53,一村一档矿产资源信息,O_HN065_SJSN_TBL_VILLAGEFILE_ORE_RESOURCES_DAT,172.25.111.6,,二期预留,弱关联域:资源/一村一档,与需求存在外围关联，但当前页面和流程消费证据不足，先预留
57,乡村治理积分排名信息,O_HN065_SJSN_TBL_RURALGOVERNANCE_PARTY_INTEGRAL_DAT,172.21.128.23,,二期预留,弱关联域:乡村治理/积分排名,与需求存在外围关联，但当前页面和流程消费证据不足，先预留
58,一村一档经济林果信息,O_HN065_SJSN_TBL_VILLAGEFILE_ECONOMIC_FRUIT_DAT,172.25.111.6,,二期预留,弱关联域:一村一档,与需求存在外围关联，但当前页面和流程消费证据不足，先预留
59,一村一档产业信息,O_HN065_SJSN_TBL_VILLAGEFILE_DEVELOP_INDUSTRY_DAT,172.25.111.6,,二期预留,弱关联域:一村一档,与需求存在外围关联，但当前页面和流程消费证据不足，先预留
63,畜牧农事信息,O_HN065_SJSN_T_FARM_BREED_RECORD,172.25.111.6,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
64,数字三农保险产品信息,O_HN065_SJSN_TBL_CONSOLE_INSURE,172.25.111.6,,二期预留,弱关联域:保险,与需求存在外围关联，但当前页面和流程消费证据不足，先预留
65,海南畜牧业产量（出栏量）信息,AGRO_PROD_INDUSTRY_ANIMAL,172.25.111.6,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
66,数字三农地标信息,O_HN065_SJSN_TBL_PLATFORM_GEOINDICATION_DAT,172.25.111.6,,二期预留,弱关联域:地标,与需求存在外围关联，但当前页面和流程消费证据不足，先预留
67,数字三农服务售卖点信息,O_HN065_SJSN_TBL_PLATFORM_SERVICE_POINT_INFO,172.25.111.6,,二期预留,弱关联域:服务售卖点,与需求存在外围关联，但当前页面和流程消费证据不足，先预留
68,数字三农资讯信息,O_HN065_SJSN_TBL_CMS_ARTICLE_DAT,172.25.111.6,,二期预留,弱关联域:资讯,与需求存在外围关联，但当前页面和流程消费证据不足，先预留
70,海南省土地承包情况统计信息,O_HN065_SJSN_AGRO_ECO_CONTRACT_C,172.25.111.6,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
72,数字三农专家信息,O_HN065_SJSN_TBL_PLATFORM_PROFICIENT_INFO,172.25.111.6,,二期预留,弱关联域:专家,与需求存在外围关联，但当前页面和流程消费证据不足，先预留
78,畜牧业畜产品养殖规模信息,O_HN065_SJSN_TBL_DATAANALYSEP_ANIMAL_PRODUCTS_DAT,172.21.128.23,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
79,畜牧业生猪市场供需信息,O_HN065_SJSN_TBL_DATAANALYSEP_PIG_SUPPLY_DAT,172.21.128.23,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
81,种植结构信息,O_HN065_SJSN_TBL_PLANTANALYSIS_DAT,172.25.111.6,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
