目录ID,信息资源名称,所属系统名称,对应处室,目标表,标准化表名,数据库所在IP地址,共享属性,开放属性,是否已挂接,PDF匹配页,提取建议
1,一户一档农户补贴信息,海南数字“三农”服务平台（一期）,农村合作经济指导处,O_HN065_SJSN_TBL_CMS_SUBSIDY_DAT,tbl_cms_subsidy_dat,172.25.111.6,有条件共享,有条件开放,已挂接,204,可直接纳入首批采集，优先按表全量+增量策略实现
2,海南省农产品滞销信息,海南数字“三农”服务平台（一期）,市场与信息化处,O_HN065_SJSN_TBL_PLATFORM_FARM_PRODUCTS_DAT,tbl_platform_farm_products_dat,172.25.111.6,有条件共享,有条件开放,已挂接,5,可直接纳入首批采集，优先按表全量+增量策略实现
3,一户一档家庭成员信息,海南数字“三农”服务平台（一期）,农村合作经济指导处,O_HN065_SJSN_TBL_CMS_FAMILY_MEMBER_DAT,tbl_cms_family_member_dat,172.25.111.6,有条件共享,不予开放,已挂接,198,可直接纳入首批采集，优先按表全量+增量策略实现
4,乡村治理三会一课信息,海南数字“三农”服务平台（一期）,农村合作经济指导处,O_HN065_SJSN_TBL_RURALGOVERNANCE_PARTY_MEETING_MANAGE_DAT,tbl_ruralgovernance_party_meeting_manage_dat,172.25.111.6,有条件共享,有条件开放,已挂接,142,可直接纳入首批采集，优先按表全量+增量策略实现
5,海南省农业种业引种备案信息,海南数字“三农”服务平台（一期）,种业管理处,O_HN065_SJSN_TBL_SEED_CROP_VARIETY_INTRODUCTION_INFO,tbl_seed_crop_variety_introduction_info,172.25.111.6,有条件共享,有条件开放,已挂接,92,可直接纳入首批采集，优先按表全量+增量策略实现
6,一村一档文体设施信息,海南数字“三农”服务平台（一期）,农村合作经济指导处,O_HN065_SJSN_TBL_VILLAGEFILE_SPORTS_FACILITY_DAT,tbl_villagefile_sports_facility_dat,172.25.111.6,有条件共享,有条件开放,已挂接,140,可直接纳入首批采集，优先按表全量+增量策略实现
7,海南省种子生产经营企业信息,海南数字“三农”服务平台（一期）,种业管理处,TBL_SEED_CROP_ENTERPRISE_INFO,tbl_seed_crop_enterprise_info,10.111.162.133,有条件共享,有条件开放,已挂接,88,可直接纳入首批采集，优先按表全量+增量策略实现
8,海南省农业种业畜禽遗传资源库信息,海南数字“三农”服务平台（一期）,省畜牧技术推广总站,O_HN065_SJSN_TBL_SEED_LIVESTOCK_RESOURCES_INFO,tbl_seed_livestock_resources_info,172.25.111.6,有条件共享,有条件开放,已挂接,97,可直接纳入首批采集，优先按表全量+增量策略实现
9,水产种子资源信息,海南数字“三农”服务平台（一期）,水产养殖处,YY_WATER_PRODUCT_SEED_SOURCE,yy_water_product_seed_source,172.25.111.6,有条件共享,不予开放,已挂接,87,可直接纳入首批采集，优先按表全量+增量策略实现
10,一户一档农户档案信息,海南数字“三农”服务平台（一期）,农村合作经济指导处,O_HN065_SJSN_TBL_CMS_USER_ARCHIVES_MANAGE_DAT,tbl_cms_user_archives_manage_dat,172.25.111.6,有条件共享,不予开放,已挂接,199,可直接纳入首批采集，优先按表全量+增量策略实现
11,海南省农村三资科目余额信息,海南数字“三农”服务平台（一期）,农村合作经济指导处,O_HN065_SJSN_SZ_KMYEB,sz_kmyeb,172.25.111.6,有条件共享,有条件开放,已挂接,182,可直接纳入首批采集，优先按表全量+增量策略实现
